kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag
8439618,K05518.01,,CANDIDATE,558.21886,0.022,13.556,1539.4,3.1,198.0,0.36,19.1,1,3.0,5679.0,4.581,-0.32,0.794,0.886,295.06573,44.477032,15.326
9209981,K05638.01,,CANDIDATE,290.02002,0.5367,23.87,172.5,1.56,321.0,2.51,7.6,1,,6452.0,4.384,-0.12,1.148,1.164,288.01117,45.68716,14.737
9210738,K05639.01,,CANDIDATE,279.21957,0.6009,10.015,333.5,4.92,395.0,5.77,10.5,1,,5159.0,3.648,-0.24,2.604,1.101,288.40182,45.677029,13.845
9214176,K05640.01,,CANDIDATE,348.665961,0.0873,3.849,391.2,9.56,493.0,13.93,10.8,1,,5183.0,3.166,-0.58,4.89,1.276,290.15314,45.635471,12.038
9216231,K05641.01,,FALSE POSITIVE,616.34132,0.28,12.724,1287.0,2.11,131.0,0.07,12.5,1,,4197.0,4.659,-0.32,0.588,0.575,291.03244,45.64106,15.894
9217583,K05642.01,,CANDIDATE,222.28056,0.2151,3.035,271.9,2.56,405.0,6.37,8.0,1,,6543.0,4.17,-0.12,1.531,1.268,291.57455,45.618389,12.401
9220614,K05643.01,,CANDIDATE,570.01886,0.1946,3.52,428.5,1.62,190.0,0.31,6.8,1,,5496.0,4.579,-0.2,0.79,0.863,292.79358,45.687859,14.441
9224514,K05644.01,,CANDIDATE,378.93139106,,14.11,,,,,,1,,,,,,,294.26019,45.69408,15.316
9229807,K05645.01,,CANDIDATE,580.85326788,,16.63,,,,,,1,,,,,,,296.12985,45.681862,15.927
10130646,K05765.01,,FALSE POSITIVE,390.40832,0.0407,7.916,251.9,0.63,115.0,0.04,8.5,1,,3659.0,4.858,-0.3,0.4,0.42,287.42953,47.127609,13.974
10132552,K05766.01,,FALSE POSITIVE,191.528018,0.0258,2.342,171.8,1.32,334.0,2.95,6.4,1,,6054.0,4.416,-0.26,1.009,0.969,288.3555,47.106468,13.337
10132908,K05767.01,,FALSE POSITIVE,386.59946,0.2307,3.305,380.7,1.89,259.0,1.06,5.8,1,,6137.0,4.487,-0.2,0.963,1.038,288.50931,47.120701,14.79
10141271,K05768.01,,FALSE POSITIVE,15.4032765,0.623,3.246,253.0,1.32,626.0,36.41,9.2,1,82.0,5272.0,4.508,-0.26,0.799,0.751,291.90961,47.174339,15.555
10146103,K05769.01,,CANDIDATE,7.58062893,0.382,3.484,86.1,0.97,937.0,182.01,10.9,1,177.0,5753.0,4.417,0.2,1.041,1.034,293.74625,47.15406,14.498
10158715,K05770.01,,FALSE POSITIVE,61.0011095,0.7091,1.049,408.0,2.55,536.0,19.57,4.6,1,,6418.0,4.395,0.07,1.171,1.241,297.72064,47.134892,15.227
10161534,K05771.01,,FALSE POSITIVE,198.232389,0.0297,1.919,416.4,2.28,352.0,3.64,5.7,1,,6263.0,4.382,-0.08,1.113,1.084,298.49445,47.187271,13.991
7458433,K05392.01,,FALSE POSITIVE,0.66062715,1.208,4.56,248.5,26.13,2327.0,6966.29,7.8,1,2027.0,6322.0,4.426,-0.12,1.075,1.124,295.57947,43.06356,14.162
7458743,K05393.01,,CANDIDATE,248.421771,0.7838,4.187,704.0,18.92,579.0,26.64,8.8,1,,4895.0,3.008,-0.04,6.428,1.533,295.64517,43.065338,13.586
